org,verdict,blocks,self_blocks,ext_blocks,srcs,months,nums,w_before,w_fail,w_actor,dual,own_channel,channels,examples
애플,CORE,115,0,115,85,19,344,42,10,51,4,0,Google Cloud Tech:18;Weights & Biases:9;AWS Events:7;Replit:6,transcripts/2026-07-28/엔비디아와_AI_생태계_이렇게_무너지나_(한상희)_인포맥스라이브_2026년_7월28일_방송__BC-6CGpM_Mg.md@1000|transcripts/channels/Anthropic/The_Model_Context_Protocol_(MCP)__CQywdSdi5iA.md@3000|transcripts/channels/Anthropic/The_Model_Context_Protocol_(MCP)__CQywdSdi5iA.md@4000
구글,CORE,62,0,62,45,16,160,28,7,27,4,0,Google Cloud Tech:15;Google Developers:13;Replit:4;Zapier:4,"transcripts/2026-07-21/AI_isn’t_digital_transformation,_and_leaders_need_to_underst__eZ1NizUx9U4.md@5000|transcripts/2026-07-21/AI_isn’t_digital_transformation,_and_leaders_need_to_underst__eZ1NizUx9U4.md@6000|transcripts/2026-08-03/Fail_Forward_Why_AI_Adoption_Rewards_the_Willing__XrD-W6013G0.md@5000"
SAP,CORE,44,41,3,26,6,150,26,6,17,2,1,SAP:41;KW:2026-08-03:1;Pinecone:1;KW:2026-07-31:1,"transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md@4000|transcripts/channels/SAP/How_Martur_Fompak_Uses_Embodied_AI_to_Automate_Warehouse_Ope__eXjlvS4n1jo.md@0|transcripts/channels/SAP/How_NEC_Is_Becoming_an_AI-Native_Enterprise_with_SAP,_RISE_w__6utLfKSBIHg.md@1000"
Salesforce,CORE,38,26,12,20,12,138,13,0,14,0,1,Salesforce:26;KW:2026-07-26:4;Zapier:2;KW:2026-08-03:1,"transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md@4000|transcripts/channels/Replit/Custom_Sales_Tools_with_Replit_Your_Salesforce,_Your_Way__Aoj095r_288.md@25000|transcripts/channels/Salesforce/Salesforce_Agentforce_Powering_the_Agentic_Revolution__TmSgq1QKmZ0.md@0"
Zapier,CORE,34,31,3,15,10,96,16,3,19,0,1,Zapier:31;Weights & Biases:2;Replit:1,"transcripts/channels/Replit/4_Apps,_10+_Hours_Saved_a_Week_Lindsay_Wise_+_Julia_Holm__ppq5We7npew.md@1000|transcripts/channels/Zapier/How_Miro's_talent_team_designs_&_ships_HR_systems_employees___NuSnxrdODUE.md@23000|transcripts/channels/Zapier/The_Future_of_Content_Strategy_AI_vs_Traditional_Methods__cvczfP7Q2r4.md@5000"
NVIDIA,CORE,25,14,11,17,10,93,10,1,8,0,1,NVIDIA:14;NVIDIA Developer:6;Mistral AI:2;Meta Developers:1,transcripts/channels/Meta_Developers/The_Developer’s_Edge_Advanced_VR_Tooling_Unleashed__rD6II6ud4LU.md@15000|transcripts/channels/NVIDIA/Snap’s_GPU-Accelerated_Secret_to_Processing_10_Petabytes_a_D__glT-zO8B_qk.md@7000|transcripts/channels/NVIDIA/Snap’s_GPU-Accelerated_Secret_to_Processing_10_Petabytes_a_D__glT-zO8B_qk.md@8000
아마존,CORE,24,0,24,18,7,113,17,1,14,2,0,AWS Events:17;Salesforce:1;Telenor:1;Arm:1,transcripts/channels/Salesforce/Agentforce_World_Tour_NYC_Main_Keynote_2025_Salesforce__sSIB8rZTkew.md@4000|transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md@0|transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md@7000
Snowflake,CORE,23,16,7,18,7,66,12,4,14,0,1,Snowflake:16;SAP:2;McKinsey & Company:2;Replit:1,"transcripts/channels/Replit/Replit_for_Enterprise_with_Kody_Low_+_Nick_Co__IP8SRLgqtWU.md@8000|transcripts/channels/Cursor/Opening_Keynote,_Michael_Truell_Compile_26__fWa7uxyhVDE.md@11000|transcripts/channels/SAP/SAP_Datasphere_&_BDC_Top_New_Features_June_2026__raUQR_fhmns.md@0"
ServiceNow,CORE,22,20,2,9,4,91,8,0,7,3,1,ServiceNow:20;NVIDIA Developer:2,transcripts/channels/NVIDIA_Developer/Agentic_AI_101_NVIDIA_GTC__ETq3ZTqxFlo.md@10000|transcripts/channels/NVIDIA_Developer/Agentic_AI_101_NVIDIA_GTC__ETq3ZTqxFlo.md@11000|transcripts/channels/ServiceNow/Welcome_to_Agentic_Business_ServiceNow_Knowledge_2026_Openin__jeo2V1w-Peg.md@0
마이크로소프트,CORE,21,0,21,16,7,98,9,1,7,2,0,Microsoft Azure:4;KW:2026-07-29:3;Weights & Biases:3;Siemens:2,"transcripts/2026-07-29/AI_도입의_격차,_상위_5%_기업의_AI_활용_전략_-_마이크로소프트_백인송_이사_[AI_TECH_2026__p9Tj9ctxMr8.md@6000|transcripts/2026-07-29/AI_도입의_격차,_상위_5%_기업의_AI_활용_전략_-_마이크로소프트_백인송_이사_[AI_TECH_2026__p9Tj9ctxMr8.md@7000|transcripts/2026-07-29/AI_도입의_격차,_상위_5%_기업의_AI_활용_전략_-_마이크로소프트_백인송_이사_[AI_TECH_2026__p9Tj9ctxMr8.md@8000"
