axis,axis_title,score,n_sent,date,channel,hq,layer,relevance,stance,title,quote,url,file
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,21.0,8,,티타임즈TV,KW,(미분류),ax_core,washing,현장에서 AI 트랜스포메이션 이끌면서 배운 것 (황재선 SK 부사장),일상에서 체험되고 그리고 작지만 생산성 우리 직원 한 명 한 명의 생산성이 개선되는 것들을 봄으로 해 가지고 아 AI가 멀리 있는게 아니구나라는 어떤 경험의 변화라는게 지금 이제 DX에서 ax로 넘어오는 첫 번째 이유였고요,https://www.youtube.com/watch?v=b-tgY8Q0SbA,transcripts/2026-07-23/현장에서_AI_트랜스포메이션_이끌면서_배운_것_(황재선_SK_부사장)__b-tgY8Q0SbA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,21.0,8,,티타임즈TV,KW,(미분류),ax_core,washing,현장에서 AI 트랜스포메이션 이끌면서 배운 것 (황재선 SK 부사장),그 말은 경영진 입장에서는 어 이게 기존에 DX와는 달리 빠른 ROY가 나오겠구나라는 확신을 드리는 부분도 DX에서 AX로 넘어가는 하두에서는 큰 변화이지 않을까라는 생각을 하고 있습니다,https://www.youtube.com/watch?v=b-tgY8Q0SbA,transcripts/2026-07-23/현장에서_AI_트랜스포메이션_이끌면서_배운_것_(황재선_SK_부사장)__b-tgY8Q0SbA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,21.0,8,,티타임즈TV,KW,(미분류),ax_core,washing,현장에서 AI 트랜스포메이션 이끌면서 배운 것 (황재선 SK 부사장),책에는 실제 회사에서 진행하게 됐을 때는 어떠한 방법론 로드맵을 가지고 진행해야 될지 그리고 구체적으로 그 진행에 따른 뭐 전략이라든지 우리 CEO들의 어떤 생각이라든지 성과 측정이라든지 구체적인 사례들도 좀 말씀을 드렸고 지금 남들은 어떤 서비스 또는 AI를 활용하고 있지라는 부분들에서는 제가 지난 5년간 SK에서 또 많이 고민하면서 적용했을 때에 뭐 어떤 솔루션들을 앞으로 AI를 가지고 적용하면 좋을지에 대한 뭐 솔루션에 대한 소개라든지 지금이 AI를 이제 막 경험하셔 가지고 회사에 적용을 하는 그런 단계부터 어느 정도 우리는 디지털 트랜스포메이션 통해 가지고 AI도 조금 해봤다라는 회사들까지도 참조할 수 있는 다양한 맥락들이 좀 있을 것 같고요,https://www.youtube.com/watch?v=b-tgY8Q0SbA,transcripts/2026-07-23/현장에서_AI_트랜스포메이션_이끌면서_배운_것_(황재선_SK_부사장)__b-tgY8Q0SbA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,21.0,8,,티타임즈TV,KW,(미분류),ax_core,washing,현장에서 AI 트랜스포메이션 이끌면서 배운 것 (황재선 SK 부사장),2단계는 아마 기업의 데이터와 저희 생성의 AI를 결합한다라든지 그다음에 기존에 아마 DX 시절에도 했었던 자동화에 가장 큰 강점을 가지고 있는 RPA에 AI를 결합하거나 AI가 좀 더 들어가 있는 RPA를 써서 좀 더 똑똑하게 우리가 단순 반복적이거나 맥락을 이해한 일을 한다라든지 여기까지 하면은 대부분 생산성을 어떻게 높이느냐로 기결이 되니까진들은 좀 더 효과가 높은 거 없을까라는 는 질문을 주시거든요,https://www.youtube.com/watch?v=b-tgY8Q0SbA,transcripts/2026-07-23/현장에서_AI_트랜스포메이션_이끌면서_배운_것_(황재선_SK_부사장)__b-tgY8Q0SbA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,18.5,9,,중소벤처기업부,KW,(미분류),ax_core,neutral,"작은 공장도 바로 적용 가능! 현장에서 검증된 AI 도입, 디지털 전환 공식🤖 (feat.스마트제조혁신3.0 전략)",DX 멘토단이라는 사업을 운영하고 있는데 대기업에서 공장에서 퇴직했던 분이거나 아니면은 뭐 생산 전문가분들 이런 분들을 이제 DX 멘토단위라고 구성을 해서 기업의 현장에 찾아가셔서 그런 제조 공정에 대한 컨설팅도 해 주시고 디지털 전환 이런 것들 어떻게 할지에 대한 기획 단계를 해 주시는 그런 사업들을 좀 운영을 하고 있는데이 사업 내부에 저희 또 AI 전문가 뭐 AX 뭐 어드바이저 이렇게 이름을 지어 가지고 AI만 또 별도로 로 이제 침층적으로 컨설팅하는 사업들도 이제 내년부터 지원을 할 예정입니다,https://www.youtube.com/watch?v=mUAndx0F8I0,"transcripts/2026-07-30/작은_공장도_바로_적용_가능!_현장에서_검증된_AI_도입,_디지털_전환_공식🤖_(feat.스마트제조혁신3.0__mUAndx0F8I0.md"
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,18.5,9,,중소벤처기업부,KW,(미분류),ax_core,neutral,"작은 공장도 바로 적용 가능! 현장에서 검증된 AI 도입, 디지털 전환 공식🤖 (feat.스마트제조혁신3.0 전략)",실질적으로 저희가 다른 사례들을 보면 AI나 디지털 전환 기술을 도입을 [음악] 해서 어 전체 직원 중에 뭐 80% 이상이 2030세대 [음악] 분들이 오시는 경우도 있고 해서 청년들이 찾아오는 기업으로 좀 전환하고 성장시키는데 [음악] 좀 초점을 뒀다고 보시면 될 것 같습니다.이 이 부분에서 지금 이제 코아비스 부사한테 여쭤보고 싶은게 중기보회 스마트 제조 욕신 3.0 대책도 마련을 했는데요,https://www.youtube.com/watch?v=mUAndx0F8I0,"transcripts/2026-07-30/작은_공장도_바로_적용_가능!_현장에서_검증된_AI_도입,_디지털_전환_공식🤖_(feat.스마트제조혁신3.0__mUAndx0F8I0.md"
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,18.5,9,,중소벤처기업부,KW,(미분류),ax_core,neutral,"작은 공장도 바로 적용 가능! 현장에서 검증된 AI 도입, 디지털 전환 공식🤖 (feat.스마트제조혁신3.0 전략)",어 가장 좀 제가 우려되고 말씀드리고 싶은 거는 기초적인 디지털화가 되고 데이터에 대한 표준화 같은 것들이 덜되면 다음 단계를 사실 가기가 어렵습니다,https://www.youtube.com/watch?v=mUAndx0F8I0,"transcripts/2026-07-30/작은_공장도_바로_적용_가능!_현장에서_검증된_AI_도입,_디지털_전환_공식🤖_(feat.스마트제조혁신3.0__mUAndx0F8I0.md"
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,18.5,9,,중소벤처기업부,KW,(미분류),ax_core,neutral,"작은 공장도 바로 적용 가능! 현장에서 검증된 AI 도입, 디지털 전환 공식🤖 (feat.스마트제조혁신3.0 전략)",조금 더 나아가서는 코아비스 GP들 만들어 가지고 어 질문을 했을 때 나에게 실시간으로 모든 정확한 정보가 나한테 와서 어떤 의사 결정이라든지 뭐 제조적인 판단하는데 있어서 어 시간의 어떤 딜레이 없이 바로바로 저희가 어 해 나갈 수 있는 그런 체제를 한 향후 한 2년까지 좀 어 만들어 보려고 &gt;&gt; 그럼 이제 어 마지막으로 스마트 공장 그리고 AXDX를 준비하고 하고 있는 중소 제조 기업분들께 한 말씀씩 부탁드리겠습니다,https://www.youtube.com/watch?v=mUAndx0F8I0,"transcripts/2026-07-30/작은_공장도_바로_적용_가능!_현장에서_검증된_AI_도입,_디지털_전환_공식🤖_(feat.스마트제조혁신3.0__mUAndx0F8I0.md"
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,17.0,8,,삼성SDS and KASMO 인공지능혁신추진단,KW,(미분류),ax_core,anti_washing,제조업 AX의 골든 타임 ⏰ 중요한 것은 AI 도입보다 이것?! 📢 IT슈다 EP. 제조,"뭐 우리나라 자동차 산업은 세계적으로도 또 정말 강한데 DX, AX이 둘의 차이점이 뭘까요?",https://www.youtube.com/watch?v=iAbE9YXnbqA,transcripts/2026-07-18/제조업_AX의_골든_타임_⏰_중요한_것은_AI_도입보다_이것!_📢_IT슈다_EP._제조__iAbE9YXnbqA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,17.0,8,,삼성SDS and KASMO 인공지능혁신추진단,KW,(미분류),ax_core,anti_washing,제조업 AX의 골든 타임 ⏰ 중요한 것은 AI 도입보다 이것?! 📢 IT슈다 EP. 제조,중소 제조업의 디지털 트랜스포메이션 DX라고 얘기하는데요 단계는 이제 데이터를 모으는 단계.,https://www.youtube.com/watch?v=iAbE9YXnbqA,transcripts/2026-07-18/제조업_AX의_골든_타임_⏰_중요한_것은_AI_도입보다_이것!_📢_IT슈다_EP._제조__iAbE9YXnbqA.md
