focal_firm,videos,cells_filled,months,span,value_sents,metric_sents,demand_hits,dominant_role,roles,best_tier,lang,top_video,top_url,top_file,n_tech_cur,n_tech_fut,n_act_cur,n_act_fut,n_bnd_cur,n_bnd_fut,n_goal_cur,n_goal_fut,fit
Zapier,3,8,3,2025-11~2026-03,12,8,75,adopter_self,도입 조직 자기발화3,A,ko3,"Zapier's Big AI Plans for 2026 Revealed! - Leadership, Culture, Tools, Governance",https://www.youtube.com/watch?v=EfHm1Qjztd0,"transcripts/channels/Zapier/Zapier's_Big_AI_Plans_for_2026_Revealed!_-_Leadership,_Cultu__EfHm1Qjztd0.md",12,10,21,14,2,4,4,14,113
Siemens,2,8,2,2026-01~2026-03,7,5,16,adopter_self,도입 조직 자기발화2,A,ko1/en1,The Industrial AI Revolution: Siemens Keynote at CES 2026,https://www.youtube.com/watch?v=R4Wm6YdoZSs,transcripts/channels/Siemens/The_Industrial_AI_Revolution_Siemens_Keynote_at_CES_2026__R4Wm6YdoZSs.md,24,12,7,8,13,3,3,8,104
SK(지주·그룹),1,8,1,2026-07~2026-07,8,4,38,third_party_case,제3자가 보도·강연한 도입 사례1,A,ko1,현장에서 AI 트랜스포메이션 이끌면서 배운 것 (황재선 SK 부사장),https://www.youtube.com/watch?v=b-tgY8Q0SbA,transcripts/2026-07-23/현장에서_AI_트랜스포메이션_이끌면서_배운_것_(황재선_SK_부사장)__b-tgY8Q0SbA.md,8,2,4,3,2,1,3,2,93
Salesforce,2,7,2,2025-12~2026-02,11,14,28,adopter_self,도입 조직 자기발화2,B,ko2,Win More Sales: Salesforce Agentforce for Sales Productivity,https://www.youtube.com/watch?v=fJxyv1bYJoc,transcripts/channels/Salesforce/Win_More_Sales_Salesforce_Agentforce_for_Sales_Productivity__fJxyv1bYJoc.md,34,37,16,13,0,1,2,1,107
AWS,2,7,2,2026-02~2026-07,7,6,17,adopter_self,도입 조직 자기발화1 · 벤더가 소개한 고객 사례1,B,ko2,NYC Executive Forum 2026 - Leading Transformation When Technology Won’t Wait,https://www.youtube.com/watch?v=-7VeuZfH0DM,transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md,4,6,2,3,3,3,0,4,95
ServiceNow,1,7,1,2026-05~2026-05,5,5,27,adopter_self,도입 조직 자기발화1,B,ko1,Welcome to Agentic Business | ServiceNow Knowledge 2026 Opening Keynote,https://www.youtube.com/watch?v=jeo2V1w-Peg,transcripts/channels/ServiceNow/Welcome_to_Agentic_Business_ServiceNow_Knowledge_2026_Openin__jeo2V1w-Peg.md,16,9,9,1,2,1,0,1,91
Intel,1,7,1,2025-11~2025-11,3,2,21,adopter_self,도입 조직 자기발화1,B,ko1,AI Industrialization: The Next Frontier for Global Enterprises | Intel,https://www.youtube.com/watch?v=fSadUMtpwcY,transcripts/channels/Intel/AI_Industrialization_The_Next_Frontier_for_Global_Enterprise__fSadUMtpwcY.md,3,1,1,2,0,1,2,2,86
Unilever,2,6,1,2024-11~2024-11,14,1,48,adopter_self,도입 조직 자기발화2,C,ko2,Investor Event 2024 CEO Presentation | Unilever,https://www.youtube.com/watch?v=r_BOLVAd0Kw,transcripts/channels/Unilever/Investor_Event_2024_CEO_Presentation_Unilever__r_BOLVAd0Kw.md,4,0,6,3,5,0,1,1,87
Schneider Electric,1,6,1,2026-07~2026-07,2,2,8,adopter_self,도입 조직 자기발화1,B,ko1,"Is there an ROI in industrial AI? The truth behind data, automation, and value in CPG manufacturing",https://www.youtube.com/watch?v=2cJD3hlyu6g,"transcripts/channels/Schneider_Electric/Is_there_an_ROI_in_industrial_AI_The_truth_behind_data,_auto__2cJD3hlyu6g.md",4,4,3,1,1,1,0,0,75
Microsoft,1,6,1,2025-12~2025-12,1,1,13,adopter_self,도입 조직 자기발화1,B,en1,Is Agentic AI upending the corporate ladder? EY's Global Consulting AI Leader shares what’s coming,https://www.youtube.com/watch?v=ilaDQLa1Lrk,transcripts/channels/Microsoft/Is_Agentic_AI_upending_the_corporate_ladder_EY's_Global_Cons__ilaDQLa1Lrk.md,2,9,0,1,1,0,3,9,73
